tweet_id,timestamp,rating_numerator,rating_denominator,name,dog_stage,jpg_url,image_number,prediction_1,prediction_1_confidence_level,is_prediction_1_dog,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56,13,10,Phineas,-,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,0.0970486,False,39467,8853
892177421306343426,2017-08-01 00:17:27,13,10,Tilly,-,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,33819,6514
891815181378084864,2017-07-31 00:18:03,12,10,Archie,-,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,25461,4328
891689557279858688,2017-07-30 15:58:51,13,10,Darla,-,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,0.17027799999999998,False,42908,8964
891327558926688256,2017-07-29 16:00:24,12,10,Franklin,-,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,True,41048,9774
891087950875897856,2017-07-29 00:08:17,13,10,unknown,-,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,True,20562,3261
890971913173991426,2017-07-28 16:27:12,13,10,Jax,-,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,True,12041,2158
890729181411237888,2017-07-28 00:22:40,13,10,unknown,-,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,56848,16716
890609185150312448,2017-07-27 16:25:51,13,10,Zoey,-,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,True,28226,4429
890240255349198849,2017-07-26 15:59:51,14,10,Cassie,doggo   ,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,32467,7711
890006608113172480,2017-07-26 00:31:25,13,10,Koda,-,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,31166,7624
889880896479866881,2017-07-25 16:11:53,13,10,Bruno,-,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,0.377417,True,28268,5156
889665388333682689,2017-07-25 01:55:32,13,10,unknown,   puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,True,38818,8538
889638837579907072,2017-07-25 00:10:02,12,10,Ted,-,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,0.99165,True,27672,4735
889531135344209921,2017-07-24 17:02:04,13,10,Stuart,   puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,0.953442,True,15359,2321
889278841981685760,2017-07-24 00:19:32,13,10,Oliver,-,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,0.626152,True,25652,5637
